Datum/Zeit,         A0,          A1,          A2,         A3
20220909_121509,   0,       2136.0,      36.51,    2980.0
20220909_121511,   0,       2136.0,      37.21,    2941.0
20220909_121512,   0,       2134.0,      36.24,    2988.0
20220909_121514,   0,       2134.0,      36.93,    2950.0
20220909_121516,   0,       2136.0,      37.09,    2942.0
20220909_121517,   0,       2134.0,      37.21,    2942.0
20220909_121519,   0,       2136.0,      37.0,    2946.0
20220909_121521,   0,       2134.0,      36.24,    2987.0
20220909_121523,   0,       2137.0,      36.24,    2989.0
20220909_121524,   0,       2134.0,      37.08,    2948.0
20220909_121526,   0,       2136.0,      37.26,    2939.0
20220909_121528,   0,       2136.0,      36.25,    2990.0
20220909_121530,   0,       2136.0,      36.32,    2985.0
20220909_121531,   0,       2136.0,      37.24,    2953.0
20220909_121533,   0,       2136.0,      36.33,    2983.0
20220909_121535,   0,       2136.0,      36.94,    2956.0
20220909_121537,   0,       2136.0,      37.27,    2941.0
20220909_121538,   0,       2136.0,      36.69,    2965.0
20220909_121540,   0,       2136.0,      37.14,    2943.0
20220909_121542,   0,       2136.0,      37.23,    2941.0
20220909_121543,   0,       2137.0,      36.28,    2989.0
20220909_121545,   0,       2134.0,      37.35,    2969.0
20220909_121547,   0,       2136.0,      36.83,    2990.0
20220909_121548,   0,       2134.0,      36.44,    3001.0
20220909_121550,   0,       2134.0,      36.41,    2979.0
20220909_121552,   0,       2136.0,      37.24,    2940.0
20220909_121554,   0,       2134.0,      36.83,    2959.0
20220909_121556,   0,       2136.0,      36.33,    2984.0
20220909_121557,   0,       2134.0,      37.2,    2944.0
20220909_121559,   0,       2136.0,      37.17,    2944.0
20220909_121601,   0,       2134.0,      36.67,    2971.0
20220909_121602,   0,       2136.0,      36.54,    2972.0
20220909_121604,   0,       2136.0,      36.31,    2985.0
20220909_121606,   0,       2134.0,      37.09,    2949.0
20220909_121607,   0,       2134.0,      36.33,    2987.0
20220909_121609,   0,       2136.0,      36.27,    2990.0
20220909_121611,   0,       2136.0,      37.29,    2942.0
20220909_121612,   0,       2134.0,      36.56,    2970.0
20220909_121614,   0,       2134.0,      37.23,    2938.0
20220909_121616,   0,       2134.0,      37.23,    2938.0
20220909_121618,   0,       2134.0,      37.21,    2936.0
20220909_121619,   0,       2134.0,      37.18,    2938.0
20220909_121621,   0,       2136.0,      36.79,    2953.0
20220909_121623,   0,       2134.0,      37.17,    2940.0
20220909_121624,   0,       2136.0,      36.37,    2984.0
20220909_121626,   0,       2136.0,      36.85,    2987.0
20220909_121628,   0,       2136.0,      37.38,    2950.0
20220909_121630,   0,       2136.0,      37.67,    2966.0
20220909_121631,   0,       2134.0,      36.51,    3001.0
20220909_121633,   0,       2134.0,      37.14,    2947.0
20220909_121635,   0,       2136.0,      36.54,    2970.0
20220909_121637,   0,       2134.0,      36.23,    2987.0
20220909_121638,   0,       2136.0,      36.26,    2987.0
20220909_121640,   0,       2136.0,      36.26,    2988.0
20220909_121642,   0,       2136.0,      36.94,    2954.0
20220909_121643,   0,       2136.0,      36.47,    2976.0
20220909_121645,   0,       2136.0,      36.88,    2954.0
20220909_121647,   0,       2136.0,      36.98,    2950.0
20220909_121649,   0,       2134.0,      36.24,    2987.0
20220909_121650,   0,       2136.0,      37.2,    2942.0
20220909_121652,   0,       2134.0,      37.24,    2941.0
20220909_121654,   0,       2136.0,      36.8,    3002.0
20220909_121655,   0,       2134.0,      37.18,    2945.0
20220909_121657,   0,       2136.0,      36.23,    2989.0
20220909_121659,   0,       2136.0,      37.05,    2950.0
20220909_121701,   0,       2136.0,      37.18,    2946.0
20220909_121702,   0,       2134.0,      37.1,    2948.0
20220909_121704,   0,       2134.0,      36.26,    2990.0
20220909_121706,   0,       2134.0,      36.38,    2982.0
20220909_121707,   0,       2134.0,      36.82,    2959.0
20220909_121709,   0,       2136.0,      36.71,    2965.0
20220909_121711,   0,       2134.0,      36.93,    2953.0
20220909_121713,   0,       2136.0,      36.75,    2960.0
20220909_121714,   0,       2134.0,      37.27,    2940.0
20220909_121716,   0,       2134.0,      36.97,    2953.0
20220909_121718,   0,       2136.0,      36.34,    2981.0
20220909_121720,   0,       2136.0,      36.94,    2954.0
20220909_121721,   0,       2134.0,      36.58,    2970.0
20220909_121723,   0,       2134.0,      37.22,    2941.0
20220909_121725,   0,       2136.0,      37.24,    2940.0
20220909_121727,   0,       2134.0,      37.16,    2943.0
20220909_121728,   0,       2134.0,      36.91,    2982.0
20220909_121730,   0,       2136.0,      36.61,    3000.0
20220909_121732,   0,       2134.0,      36.29,    2991.0
20220909_121733,   0,       2136.0,      36.81,    2968.0
20220909_121735,   0,       2134.0,      37.33,    2942.0
20220909_121737,   0,       2134.0,      37.11,    2944.0
20220909_121739,   0,       2136.0,      36.3,    2989.0
20220909_121740,   0,       2134.0,      37.25,    2941.0
20220909_121742,   0,       2136.0,      36.31,    2985.0
20220909_121744,   0,       2136.0,      37.07,    2948.0
20220909_121745,   0,       2134.0,      37.06,    2950.0
20220909_121747,   0,       2136.0,      36.24,    2988.0
20220909_121749,   0,       2134.0,      36.39,    2979.0
20220909_121751,   0,       2134.0,      37.16,    2944.0
20220909_121752,   0,       2136.0,      36.56,    2968.0
20220909_121754,   0,       2134.0,      37.26,    2940.0
20220909_121756,   0,       2136.0,      36.65,    2966.0
20220909_121757,   0,       2136.0,      36.23,    2988.0
20220909_121759,   0,       2134.0,      36.23,    2986.0
