Datum/Zeit,         O2 [%],          CO2 [%]
20220909_122216,   36.97,            0
20220909_122218,   36.68,            0
20220909_122220,   37.16,            0
20220909_122221,   37.13,            0
20220909_122223,   37.2,            0
20220909_122225,   36.54,            0
20220909_122227,   36.17,            0
20220909_122229,   37.19,            0
20220909_122230,   36.54,            0
20220909_122232,   36.28,            0
20220909_122233,   37.08,            0
20220909_122235,   36.42,            0
20220909_122237,   37.32,            0
20220909_122238,   37.46,            0
20220909_122240,   37.09,            0
20220909_122242,   0,            0
20220909_122243,   0,            0
20220909_122245,   0,            37.87
20220909_122247,   0,            38.05
20220909_122249,   0,            36.99
20220909_122251,   0,            36.55
20220909_122252,   0,            37.36
20220909_122254,   0,            36.83
20220909_122256,   0,            37.18
20220909_122258,   0,            37.32
20220909_122300,   0,            37.05
20220909_122301,   0,            37.67
20220909_122303,   0,            37.28
20220909_122305,   0,            37.33
