Datum/Zeit,         Temp1,          Temp2,          Druck1,         Druck2
20220906_133503,   0,       0,      0,    0
20220906_133505,   27.29,       27.47,      990.7235143139665,    991.1657275601434
20220906_133507,   27.28,       27.46,      990.694364647223,    991.1529609399639
20220906_133509,   27.28,       27.46,      990.501926897596,    990.9572460827984
20220906_133510,   27.28,       27.46,      990.582120501557,    991.0746748387246
20220906_133512,   27.29,       27.47,      990.603222498245,    991.0000334289467
20220906_133514,   27.29,       27.48,      990.5842272376169,    991.0036776122563
20220906_133515,   27.29,       27.47,      990.5898567717194,    991.0222014448208
20220906_133517,   27.29,       27.48,      990.5671480971963,    991.0297736978437
20220906_133518,   27.29,       27.48,      990.576491051349,    991.0476870228928
20220906_133520,   27.28,       27.47,      990.5591025825951,    991.0652726714601
20220906_133521,   27.28,       27.47,      990.6048287912138,    990.9961058637448
20220906_133523,   27.28,       27.46,      990.6392966347298,    990.9963889486494
20220906_133525,   27.28,       27.46,      990.5687548855088,    990.9924613613563
20220906_133526,   27.28,       27.45,      990.560709294707,    990.9754418900442
20220906_133528,   27.27,       27.45,      990.5663385737772,    991.0230940623119
20220906_133529,   27.27,       27.45,      990.5489503940569,    991.0100465725908
20220906_133531,   27.26,       27.45,      990.5813100534091,    990.9976089871966
20220906_133533,   27.25,       27.44,      990.5655278484087,    991.0324958983388
20220906_133534,   27.26,       27.44,      990.5695507553309,    991.0370328955273
20220906_133536,   27.25,       27.44,      990.5481399571036,    991.0500800932302
20220906_133538,   27.25,       27.43,      990.6112513253687,    991.0767830200982
20220906_133540,   27.24,       27.42,      990.5687388987603,    991.0121568021104
20220906_133541,   27.24,       27.43,      990.55537415943,    991.0421784661746
20220906_133543,   27.23,       27.43,      990.6023914747466,    991.0421784661746
20220906_133545,   27.23,       27.42,      990.6387711589904,    990.9993915376515
20220906_133547,   27.22,       27.41,      990.5695304044599,    991.0173019653148
20220906_133548,   27.21,       27.41,      990.5788714979332,    991.0479312476785
20220906_133550,   27.21,       27.4,      990.5978628741058,    991.0224462844795
20220906_133551,   27.21,       27.4,      990.6072036809069,    991.0573300633343
20220906_133553,   27.21,       27.39,      990.5804756077679,    991.0491466328488
20220906_133555,   27.2,       27.4,      990.5553517102021,    991.0051447232502
20220906_133556,   27.2,       27.39,      990.6047839025846,    991.0187988895435
20220906_133558,   27.19,       27.38,      990.5569555974669,    990.9411304165696
20220906_133559,   27.18,       27.39,      990.411560423742,    990.9623591732757
20220906_133601,   27.19,       27.38,      990.4022194669976,    990.9320120479322
